path	n_events	mean_inf_pct	median_inf_pct	match_avg_pct
long_content_30k_001/long30k_108_gc2500_rp0.005_mr4E-5_ss200.fa	8	1.807	2.074	98.014
long_content_30k_001/long30k_109_gc4000_rp0.005_mr4E-5_ss100.fa	4	1.935	1.934	97.329
long_content_30k_001/long30k_110_gc3250_rp0.005_mr12E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_111_gc2500_rp0.01_mr4E-5_ss200.fa	25	2.299	2.299	97.207
long_content_30k_001/long30k_112_gc4000_rp0.02_mr4E-5_ss200.fa	14	2.581	2.581	96.581
long_content_30k_001/long30k_113_gc4000_rp0.02_mr4E-5_ss50.fa	30	2.685	3.068	96.465
long_content_30k_001/long30k_114_gc2500_rp0.005_mr4E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_115_gc2500_rp0.02_mr8E-5_ss100.fa	7	2.965	3.183	96.003
long_content_30k_001/long30k_116_gc2500_rp0.01_mr12E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_117_gc4000_rp0.005_mr4E-5_ss200.fa	3	2.132	2.132	96.308
long_content_30k_001/long30k_118_gc2500_rp0.005_mr12E-5_ss50.fa	1	1.137	1.137	99.331
long_content_30k_001/long30k_119_gc3250_rp0.02_mr12E-5_ss50.fa	14	4.820	3.515	94.906
long_content_30k_001/long30k_120_gc4000_rp0.02_mr12E-5_ss200.fa	30	4.565	4.531	95.078
long_content_30k_001/long30k_121_gc3250_rp0.01_mr12E-5_ss50.fa	5	6.951	6.951	94.561
long_content_30k_001/long30k_122_gc3250_rp0.02_mr8E-5_ss100.fa	30	3.345	2.578	93.091
long_content_30k_001/long30k_123_gc3250_rp0.01_mr4E-5_ss50.fa	12	1.282	1.167	98.077
long_content_30k_001/long30k_124_gc3250_rp0.005_mr8E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_125_gc4000_rp0.01_mr8E-5_ss50.fa	4	8.411	8.411	94.546
long_content_30k_001/long30k_126_gc3250_rp0.01_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_127_gc4000_rp0.005_mr12E-5_ss100.fa	20	6.666	8.841	88.853
long_content_30k_001/long30k_128_gc3250_rp0.02_mr8E-5_ss50.fa	2	10.235	10.235	93.567
long_content_30k_001/long30k_129_gc4000_rp0.01_mr12E-5_ss200.fa	12	7.074	7.036	88.391
long_content_30k_001/long30k_130_gc4000_rp0.005_mr4E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_131_gc3250_rp0.005_mr4E-5_ss50.fa	23	2.538	2.584	96.961
long_content_30k_001/long30k_132_gc2500_rp0.005_mr8E-5_ss200.fa	10	3.393	3.428	96.489
long_content_30k_001/long30k_133_gc2500_rp0.02_mr12E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_134_gc3250_rp0.01_mr12E-5_ss100.fa	30	9.602	10.005	91.769
long_content_30k_001/long30k_135_gc2500_rp0.02_mr8E-5_ss50.fa	13	4.425	5.125	94.796
long_content_30k_001/long30k_136_gc2500_rp0.02_mr12E-5_ss200.fa	27	11.352	13.574	87.970
long_content_30k_001/long30k_137_gc4000_rp0.02_mr8E-5_ss100.fa	7	2.017	2.017	97.236
long_content_30k_001/long30k_138_gc3250_rp0.02_mr4E-5_ss50.fa	5	1.975	1.975	97.200
long_content_30k_001/long30k_139_gc2500_rp0.01_mr12E-5_ss200.fa	20	11.430	11.432	90.073
long_content_30k_001/long30k_140_gc2500_rp0.005_mr8E-5_ss100.fa	30	7.986	8.036	92.207
long_content_30k_001/long30k_141_gc3250_rp0.005_mr12E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_142_gc4000_rp0.005_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_143_gc3250_rp0.02_mr8E-5_ss200.fa	30	1.548	1.318	95.571
long_content_30k_001/long30k_144_gc2500_rp0.005_mr12E-5_ss100.fa	21	4.703	3.669	74.704
long_content_30k_001/long30k_145_gc4000_rp0.02_mr8E-5_ss200.fa	30	1.982	1.966	97.709
long_content_30k_001/long30k_146_gc2500_rp0.02_mr4E-5_ss200.fa	18	2.060	1.873	97.471
long_content_30k_001/long30k_147_gc2500_rp0.02_mr12E-5_ss50.fa	19	4.450	4.327	94.826
long_content_30k_001/long30k_148_gc4000_rp0.01_mr8E-5_ss100.fa	2	5.033	5.033	96.285
long_content_30k_001/long30k_149_gc2500_rp0.01_mr8E-5_ss100.fa	7	5.072	5.285	94.743
long_content_30k_001/long30k_150_gc4000_rp0.02_mr12E-5_ss100.fa	30	5.936	6.877	94.145
long_content_30k_001/long30k_151_gc2500_rp0.01_mr4E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_152_gc2500_rp0.01_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_153_gc3250_rp0.005_mr4E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_154_gc4000_rp0.02_mr4E-5_ss100.fa	12	3.308	3.336	96.461
long_content_30k_001/long30k_155_gc3250_rp0.02_mr4E-5_ss200.fa	30	1.853	1.832	97.786
long_content_30k_001/long30k_156_gc3250_rp0.02_mr12E-5_ss100.fa	1	6.254	6.254	95.105
long_content_30k_001/long30k_157_gc2500_rp0.01_mr12E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_158_gc4000_rp0.01_mr8E-5_ss200.fa	30	3.834	3.969	95.071
